id_venda,data_venda,modelo,categoria,preco_venda,custo,lucro,canal_venda,campanha
94,2024-01-11 13:33:16,P-900,Pickup,266199.84,213175.49,53024.34,Showroom,Férias de Verão
95,2024-01-11 11:35:55,X-500,SUV,172660.51,132735.95,39924.56,Showroom,Férias de Verão
96,2024-01-12 18:00:43,S-600,Sedan,193002.74,150962.91,42039.84,Online,Férias de Verão
97,2024-01-12 16:46:07,E-1,Elétrico,312770.31,220812.54,91957.77,Showroom,Férias de Verão
98,2024-01-12 15:43:56,X-700,SUV,246561.85,174551.69,72010.16,Showroom,Férias de Verão
99,2024-01-12 18:34:48,S-400,Sedan,156385.52,109165.72,47219.8,Showroom,Férias de Verão
100,2024-01-12 15:17:49,S-600,Sedan,198720.82,145700.07,53020.76,Showroom,Férias de Verão
101,2024-01-12 14:41:21,X-700,SUV,247663.69,187231.18,60432.51,Showroom,Férias de Verão
102,2024-01-12 17:07:18,X-700,SUV,271089.27,192459.22,78630.05,Showroom,Férias de Verão
103,2024-01-13 15:27:10,X-500,SUV,192561.59,129695.92,62865.67,Showroom,Férias de Verão
104,2024-01-13 12:29:00,S-400,Sedan,139510.74,114400.02,25110.72,Parceiros,Férias de Verão
105,2024-01-13 14:46:56,X-700,SUV,245226.12,185174.34,60051.79,Showroom,Férias de Verão
106,2024-01-13 14:46:16,X-700,SUV,250606.52,182825.91,67780.61,Online,Férias de Verão
107,2024-01-13 17:32:48,E-2,Elétrico,356829.43,261831.34,94998.09,Showroom,Férias de Verão
108,2024-01-13 18:11:32,P-800,Pickup,225510.09,160161.1,65348.99,Showroom,Férias de Verão
109,2024-01-13 13:58:06,S-600,Sedan,209330.12,146572.19,62757.93,Showroom,Férias de Verão
110,2024-01-13 12:55:40,S-400,Sedan,137793.43,112662.29,25131.15,Showroom,Férias de Verão
111,2024-01-13 15:19:53,H-300,Hatch,113165.15,90722.91,22442.24,Showroom,Férias de Verão
112,2024-01-13 11:40:32,S-600,Sedan,191395.87,148269.5,43126.37,Showroom,Férias de Verão
113,2024-01-13 16:38:12,E-2,Elétrico,339465.55,268486.98,70978.57,Showroom,Férias de Verão
114,2024-01-13 14:09:23,P-800,Pickup,192811.91,161055.37,31756.54,Showroom,Férias de Verão
115,2024-01-14 17:48:10,H-100,Hatch,89460.67,67730.3,21730.37,Showroom,Férias de Verão
116,2024-01-14 16:34:49,X-700,SUV,254930.65,185131.96,69798.69,Showroom,Férias de Verão
117,2024-01-14 17:59:33,S-600,Sedan,197297.97,154264.28,43033.69,Showroom,Férias de Verão
118,2024-01-14 16:58:00,S-400,Sedan,135969.06,111313.64,24655.42,Showroom,Férias de Verão
119,2024-01-14 15:38:20,S-600,Sedan,197608.21,153703.97,43904.24,Showroom,Férias de Verão
120,2024-01-14 12:31:01,E-1,Elétrico,277821.21,232720.34,45100.87,Online,Férias de Verão
121,2024-01-14 17:07:59,P-800,Pickup,230625.14,165406.17,65218.97,Online,Férias de Verão
122,2024-01-14 10:23:56,X-700,SUV,260379.2,182684.53,77694.67,Showroom,Férias de Verão
123,2024-01-14 17:53:51,S-600,Sedan,196524.73,153731.12,42793.61,Online,Férias de Verão
124,2024-01-14 17:19:15,X-500,SUV,177571.13,131036.01,46535.12,Online,Férias de Verão
125,2024-01-14 16:03:15,X-500,SUV,188674.65,138942.91,49731.75,Showroom,Férias de Verão
126,2024-01-14 13:56:36,H-300,Hatch,115357.26,86639.43,28717.83,Showroom,Férias de Verão
127,2024-01-14 19:05:05,E-1,Elétrico,286637.35,209308.14,77329.21,Showroom,Férias de Verão
128,2024-01-14 09:46:31,X-700,SUV,280571.9,188226.87,92345.03,Showroom,Férias de Verão
129,2024-01-14 18:52:04,P-900,Pickup,304950.29,213718.73,91231.56,Parceiros,Férias de Verão
130,2024-01-14 15:48:34,H-100,Hatch,98469.11,70224.48,28244.63,Showroom,Férias de Verão
131,2024-01-14 12:49:08,H-100,Hatch,89593.98,69081.67,20512.3,Parceiros,Férias de Verão
132,2024-01-14 15:08:42,E-2,Elétrico,350975.19,271116.76,79858.43,Online,Férias de Verão
133,2024-01-14 09:30:35,S-400,Sedan,158032.47,110533.05,47499.43,Showroom,Férias de Verão
134,2024-01-15 13:10:16,S-600,Sedan,188745.81,149329.33,39416.47,Showroom,Férias de Verão
135,2024-01-15 15:33:55,S-600,Sedan,197690.65,153132.93,44557.73,Showroom,Férias de Verão
136,2024-01-15 19:38:27,H-300,Hatch,113896.85,91395.01,22501.84,Showroom,Férias de Verão
137,2024-01-15 11:13:59,X-500,SUV,203160.24,135239.83,67920.4,Showroom,Férias de Verão
138,2024-01-15 13:34:48,H-100,Hatch,89483.2,67813.95,21669.25,Showroom,Férias de Verão
139,2024-01-15 17:46:44,X-500,SUV,173584.39,135431.04,38153.35,Showroom,Férias de Verão
140,2024-01-15 15:12:45,S-600,Sedan,179216.23,144417.12,34799.11,Showroom,Férias de Verão
141,2024-01-15 16:19:25,X-700,SUV,232406.1,183124.78,49281.32,Showroom,Férias de Verão
142,2024-01-15 16:42:41,S-400,Sedan,153639.87,109892.25,43747.62,Showroom,Férias de Verão
143,2024-01-15 09:23:28,X-500,SUV,186495.05,130427.34,56067.71,Showroom,Férias de Verão
144,2024-01-15 13:57:33,X-500,SUV,184504.3,130734.3,53770.0,Online,Férias de Verão
145,2024-01-15 17:28:07,X-500,SUV,186398.64,136799.27,49599.37,Showroom,Férias de Verão
146,2024-01-16 18:15:14,X-500,SUV,164971.99,142146.98,22825.01,Showroom,Férias de Verão
147,2024-01-16 15:04:21,P-800,Pickup,212252.22,158028.12,54224.1,Showroom,Férias de Verão
148,2024-01-16 15:01:37,S-400,Sedan,159350.21,105176.66,54173.55,Online,Férias de Verão
149,2024-01-16 17:35:14,S-400,Sedan,145913.11,113847.08,32066.02,Parceiros,Férias de Verão
150,2024-01-16 10:37:14,S-600,Sedan,196642.85,156057.2,40585.65,Online,Férias de Verão
151,2024-01-16 12:00:04,S-400,Sedan,139888.61,115008.52,24880.09,Showroom,Férias de Verão
152,2024-01-16 14:45:40,P-800,Pickup,205827.08,165499.05,40328.03,Parceiros,Férias de Verão
153,2024-01-16 14:03:14,X-500,SUV,181762.61,131037.59,50725.02,Parceiros,Férias de Verão
154,2024-01-16 09:04:57,S-600,Sedan,195308.52,152371.22,42937.3,Online,Férias de Verão
155,2024-01-16 15:02:55,X-500,SUV,182304.27,138979.9,43324.37,Parceiros,Férias de Verão
156,2024-01-17 13:21:04,X-700,SUV,252334.58,183250.97,69083.61,Online,Férias de Verão
157,2024-01-17 14:32:15,S-400,Sedan,160059.84,109517.25,50542.59,Showroom,Férias de Verão
158,2024-01-17 16:17:42,S-600,Sedan,204933.18,150831.76,54101.42,Showroom,Férias de Verão
159,2024-01-17 11:31:13,X-700,SUV,257594.59,178954.61,78639.97,Showroom,Férias de Verão
160,2024-01-17 12:34:08,S-600,Sedan,211492.73,146835.71,64657.03,Showroom,Férias de Verão
161,2024-01-17 15:46:59,X-500,SUV,197775.25,134808.58,62966.67,Online,Férias de Verão
162,2024-01-17 14:56:36,X-700,SUV,257905.1,192970.62,64934.48,Online,Férias de Verão
163,2024-01-17 15:36:30,S-600,Sedan,186806.52,148981.9,37824.62,Showroom,Férias de Verão
164,2024-01-17 16:15:50,P-900,Pickup,287837.07,216808.92,71028.15,Online,Férias de Verão
165,2024-01-17 20:30:51,P-800,Pickup,203207.93,164713.37,38494.56,Showroom,Férias de Verão
166,2024-01-17 13:26:12,E-1,Elétrico,306444.27,226401.89,80042.38,Showroom,Férias de Verão
167,2024-01-17 19:06:06,S-600,Sedan,204466.4,149040.27,55426.12,Parceiros,Férias de Verão
168,2024-01-18 16:42:27,S-600,Sedan,189575.15,155750.67,33824.48,Showroom,Férias de Verão
169,2024-01-18 14:22:27,X-500,SUV,193022.8,135796.05,57226.75,Showroom,Férias de Verão
170,2024-01-18 10:26:29,H-300,Hatch,111903.22,91580.86,20322.36,Online,Férias de Verão
171,2024-01-18 18:55:46,P-900,Pickup,281151.98,216712.53,64439.45,Showroom,Férias de Verão
172,2024-01-18 14:03:43,P-800,Pickup,233454.88,161617.01,71837.87,Parceiros,Férias de Verão
173,2024-01-18 15:41:41,S-600,Sedan,195544.97,156540.23,39004.74,Online,Férias de Verão
174,2024-01-18 14:06:03,H-100,Hatch,88648.38,65870.31,22778.07,Showroom,Férias de Verão
175,2024-01-18 14:25:46,S-400,Sedan,149739.86,113290.47,36449.39,Showroom,Férias de Verão
176,2024-01-18 18:21:51,H-300,Hatch,119005.66,87770.92,31234.74,Showroom,Férias de Verão
177,2024-01-18 20:55:06,E-1,Elétrico,283159.17,227581.27,55577.9,Showroom,Férias de Verão
178,2024-01-18 15:15:12,X-700,SUV,264588.79,196618.74,67970.05,Parceiros,Férias de Verão
179,2024-01-18 17:12:34,X-700,SUV,242210.74,184375.44,57835.3,Showroom,Férias de Verão
180,2024-01-19 17:28:08,S-400,Sedan,143757.33,114091.03,29666.31,Online,Férias de Verão
181,2024-01-19 15:27:11,X-700,SUV,279467.2,192775.34,86691.86,Showroom,Férias de Verão
182,2024-01-19 18:17:29,X-500,SUV,174484.9,133429.81,41055.09,Online,Férias de Verão
183,2024-01-19 15:15:55,E-2,Elétrico,359511.23,271033.43,88477.81,Online,Férias de Verão
184,2024-01-19 16:59:04,X-500,SUV,167586.13,132039.73,35546.39,Showroom,Férias de Verão
185,2024-01-19 11:28:51,S-600,Sedan,206947.61,145226.28,61721.33,Showroom,Férias de Verão
186,2024-01-19 17:55:54,P-900,Pickup,315377.05,206655.53,108721.53,Showroom,Férias de Verão
187,2024-01-19 18:35:06,S-400,Sedan,137704.53,114061.1,23643.43,Online,Férias de Verão
188,2024-01-19 16:03:41,P-800,Pickup,229025.3,167511.01,61514.3,Online,Férias de Verão
189,2024-01-19 18:34:53,H-300,Hatch,116104.85,91297.52,24807.33,Online,Férias de Verão
190,2024-01-19 14:00:05,P-900,Pickup,277660.35,210924.3,66736.05,Showroom,Férias de Verão
191,2024-01-19 15:59:48,H-100,Hatch,91882.14,68310.83,23571.3,Showroom,Férias de Verão
192,2024-01-19 16:54:15,X-500,SUV,181719.89,135188.07,46531.82,Showroom,Férias de Verão
193,2024-01-19 12:10:26,S-400,Sedan,161213.5,113221.0,47992.5,Online,Férias de Verão
194,2024-01-19 16:31:30,P-800,Pickup,218951.75,166381.16,52570.59,Showroom,Férias de Verão
195,2024-01-19 11:13:55,E-1,Elétrico,302633.19,227757.46,74875.73,Showroom,Férias de Verão
196,2024-01-19 14:25:57,S-400,Sedan,150997.27,110137.09,40860.18,Online,Férias de Verão
197,2024-01-19 10:03:10,H-300,Hatch,122202.61,88580.33,33622.29,Showroom,Férias de Verão
198,2024-01-20 20:24:00,P-800,Pickup,201289.07,162987.86,38301.21,Online,Férias de Verão
199,2024-01-20 16:24:16,S-400,Sedan,153300.11,110805.57,42494.54,Showroom,Férias de Verão
200,2024-01-20 14:59:50,X-700,SUV,264023.16,194871.81,69151.36,Showroom,Férias de Verão
201,2024-01-20 14:50:29,E-2,Elétrico,361378.52,261718.99,99659.53,Showroom,Férias de Verão
202,2024-01-20 13:18:27,H-300,Hatch,125387.33,89442.27,35945.06,Showroom,Férias de Verão
203,2024-01-21 19:44:46,H-300,Hatch,119507.09,93016.7,26490.39,Showroom,
204,2024-01-22 15:50:35,X-500,SUV,191242.82,136990.19,54252.63,Parceiros,
205,2024-01-22 13:42:45,X-500,SUV,173912.47,142293.81,31618.66,Showroom,
206,2024-01-22 17:31:09,S-600,Sedan,184085.95,152541.15,31544.8,Showroom,
207,2024-01-22 15:12:18,S-400,Sedan,146607.7,104319.41,42288.3,Showroom,
208,2024-01-22 10:13:03,S-400,Sedan,152790.99,114116.19,38674.79,Online,
209,2024-01-22 15:37:47,S-600,Sedan,199963.97,144787.36,55176.62,Showroom,
210,2024-01-22 14:34:03,H-100,Hatch,86056.57,67576.26,18480.3,Showroom,
211,2024-01-22 15:47:20,X-500,SUV,170985.42,133861.54,37123.88,Showroom,
212,2024-01-22 12:03:03,H-300,Hatch,117039.22,88798.55,28240.68,Online,
213,2024-01-23 17:37:30,S-600,Sedan,203932.63,153066.5,50866.13,Online,
214,2024-01-23 15:32:58,S-400,Sedan,159880.46,113166.9,46713.56,Online,
215,2024-01-23 11:54:33,H-300,Hatch,117782.87,90552.28,27230.59,Showroom,
216,2024-01-23 19:10:03,X-700,SUV,245995.66,189885.93,56109.73,Showroom,
217,2024-01-23 15:32:05,S-400,Sedan,154640.15,116311.47,38328.68,Showroom,
218,2024-01-24 16:54:11,X-500,SUV,189819.41,134551.53,55267.89,Showroom,
219,2024-01-24 20:04:38,H-100,Hatch,84484.05,64534.64,19949.41,Showroom,
220,2024-01-24 16:04:43,X-500,SUV,165943.74,143107.04,22836.7,Online,
221,2024-01-24 14:55:15,S-600,Sedan,198273.73,153976.47,44297.26,Online,
222,2024-01-24 16:25:07,S-600,Sedan,205328.6,144357.86,60970.74,Parceiros,
223,2024-01-24 13:56:36,H-100,Hatch,92223.14,68027.86,24195.27,Showroom,
224,2024-01-24 15:15:37,X-700,SUV,254047.5,185860.37,68187.13,Parceiros,
225,2024-01-24 14:38:02,X-700,SUV,259646.23,171476.95,88169.29,Online,
226,2024-01-24 13:39:05,S-600,Sedan,203742.8,149609.2,54133.6,Showroom,
227,2024-01-24 19:26:42,H-300,Hatch,117193.79,90935.56,26258.23,Showroom,
228,2024-01-24 17:37:36,S-600,Sedan,179048.42,151143.78,27904.64,Showroom,
229,2024-01-25 17:33:20,X-500,SUV,177105.28,143410.83,33694.46,Online,
230,2024-01-25 12:59:16,P-800,Pickup,216663.61,166879.64,49783.96,Showroom,
231,2024-01-25 10:13:42,S-400,Sedan,155457.22,112675.32,42781.9,Showroom,
232,2024-01-25 15:45:20,X-500,SUV,178290.05,136815.98,41474.07,Showroom,
233,2024-01-25 15:15:16,X-500,SUV,188246.95,136403.28,51843.67,Showroom,
234,2024-01-25 10:25:08,S-600,Sedan,191288.66,151815.26,39473.41,Showroom,
235,2024-01-25 19:42:41,S-400,Sedan,154595.8,108944.72,45651.08,Online,
236,2024-01-26 15:19:29,H-300,Hatch,120902.51,90985.39,29917.12,Online,
237,2024-01-26 18:20:59,H-300,Hatch,117306.48,90182.25,27124.23,Online,
238,2024-01-26 14:48:59,H-300,Hatch,123832.38,86913.89,36918.49,Online,
239,2024-01-26 17:04:00,H-300,Hatch,126030.86,89318.57,36712.28,Showroom,
240,2024-01-26 14:29:39,S-600,Sedan,197558.43,154338.39,43220.04,Online,
241,2024-01-26 15:36:06,H-300,Hatch,124328.8,91715.57,32613.23,Online,
242,2024-01-26 14:04:34,P-800,Pickup,218096.21,165077.12,53019.09,Showroom,
243,2024-01-27 16:13:32,S-400,Sedan,151272.7,110137.11,41135.59,Showroom,
244,2024-01-27 15:16:08,H-300,Hatch,125890.59,89122.96,36767.64,Showroom,
245,2024-01-27 14:59:22,S-600,Sedan,188432.56,143102.42,45330.14,Showroom,
246,2024-01-27 17:56:04,S-600,Sedan,213842.73,152537.59,61305.14,Showroom,
247,2024-01-27 18:56:15,H-100,Hatch,88862.91,68293.97,20568.94,Parceiros,
248,2024-01-27 15:23:18,X-500,SUV,173214.32,133863.27,39351.05,Parceiros,
249,2024-01-27 15:10:28,S-400,Sedan,157281.76,110416.12,46865.64,Showroom,
250,2024-01-27 14:53:34,S-400,Sedan,142577.79,115675.1,26902.69,Online,
251,2024-01-27 15:45:19,X-500,SUV,171277.2,137231.7,34045.5,Showroom,
252,2024-01-28 19:39:51,P-800,Pickup,221377.47,162874.44,58503.03,Showroom,
253,2024-01-28 13:41:33,H-300,Hatch,118296.35,91083.22,27213.13,Online,
254,2024-01-28 17:00:42,H-300,Hatch,112536.82,88129.16,24407.66,Showroom,
255,2024-01-28 11:52:35,S-400,Sedan,163646.8,109704.85,53941.95,Online,
256,2024-01-28 16:19:59,H-300,Hatch,112874.41,90836.52,22037.89,Showroom,
257,2024-01-28 15:42:06,P-900,Pickup,297144.18,220227.4,76916.78,Showroom,
258,2024-01-28 20:56:08,X-700,SUV,248896.47,202010.87,46885.61,Showroom,
259,2024-01-28 16:16:07,X-500,SUV,167079.43,127251.92,39827.51,Online,
260,2024-01-28 14:56:06,H-300,Hatch,123413.9,94396.67,29017.23,Parceiros,
261,2024-01-29 11:47:35,X-700,SUV,241884.03,180615.34,61268.69,Showroom,
262,2024-01-29 15:09:17,S-600,Sedan,193781.82,153156.18,40625.64,Showroom,
263,2024-01-30 13:18:38,S-600,Sedan,205583.27,150342.02,55241.24,Showroom,
264,2024-01-30 15:13:45,H-300,Hatch,114510.25,90219.45,24290.8,Showroom,
265,2024-01-30 18:21:13,P-800,Pickup,232004.41,168015.23,63989.18,Showroom,
266,2024-01-30 17:43:40,X-700,SUV,250912.46,191887.94,59024.52,Showroom,
267,2024-01-30 12:54:16,S-600,Sedan,201920.49,148608.98,53311.52,Online,
268,2024-01-30 14:32:31,P-800,Pickup,208223.46,160595.76,47627.71,Online,
269,2024-01-30 14:16:57,X-500,SUV,163474.15,137057.36,26416.79,Parceiros,
270,2024-01-30 15:58:54,S-400,Sedan,156272.43,112605.53,43666.9,Online,
271,2024-01-30 14:03:05,E-2,Elétrico,351432.01,261721.24,89710.77,Online,
272,2024-01-30 14:40:27,P-900,Pickup,287958.17,213777.44,74180.73,Online,
273,2024-01-30 14:53:17,X-500,SUV,184828.59,131361.2,53467.38,Showroom,
274,2024-01-30 17:02:00,E-2,Elétrico,346059.94,264055.93,82004.0,Online,
275,2024-01-30 13:21:49,E-1,Elétrico,320853.11,228765.22,92087.89,Showroom,
276,2024-01-31 19:08:40,X-500,SUV,180509.85,137145.26,43364.59,Showroom,
277,2024-01-31 12:16:10,S-400,Sedan,128337.97,113489.78,14848.18,Showroom,
278,2024-01-31 12:47:28,H-300,Hatch,129184.5,93290.66,35893.85,Showroom,
279,2024-01-31 20:35:45,X-500,SUV,173802.0,134746.24,39055.76,Online,
280,2024-01-31 16:27:35,X-500,SUV,174479.38,133775.0,40704.38,Online,
281,2024-01-31 16:00:07,X-500,SUV,166191.31,138695.36,27495.95,Showroom,
282,2024-02-01 16:04:56,S-400,Sedan,154060.97,115062.15,38998.82,Showroom,
283,2024-02-01 13:44:57,X-500,SUV,176475.92,134938.47,41537.45,Showroom,
284,2024-02-01 09:09:34,P-800,Pickup,203731.97,165907.63,37824.34,Showroom,
285,2024-02-01 15:02:53,X-700,SUV,237573.67,187325.97,50247.7,Parceiros,
